,Name,Course Name,Position,Strokes Under,Total Strokes,First Round,Second Round,Third Round,Fourth Round,Fourth Round Tee Time,Amateur Status,Tournament Status,ID
66,Jon Rahm,Royal Troon,T7,-1,283,73,70,72,68,12:40pm,False,complete,46970
67,Sungjae Im,Royal Troon,T7,-1,283,76,72,66,69,1:25pm,False,complete,39971
68,Scottie Scheffler,Royal Troon,T7,-1,283,70,70,71,72,1:55pm,False,complete,46046
69,Matthew Jordan,Royal Troon,T10,E,284,71,71,71,71,1:35pm,False,complete,55955
70,Adam Scott,Royal Troon,T10,E,284,70,77,66,71,1:45pm,False,complete,24502
71,Daniel Brown,Royal Troon,T10,E,284,65,72,73,74,1:55pm,False,complete,57259
72,Jason Day,Royal Troon,T13,+1,285,73,68,76,68,11:05am,False,complete,28089
73,Alex Noren,Royal Troon,T13,+1,285,69,75,71,70,12:40pm,False,complete,27349
74,Byeong Hun An,Royal Troon,T13,+1,285,75,71,68,71,1:25pm,False,complete,33948
75,Mackenzie Hughes,Royal Troon,T16,+2,286,69,74,75,68,10:10am,False,complete,35506
76,Collin Morikawa,Royal Troon,T16,+2,286,73,70,72,71,12:30pm,False,complete,50525
77,John Catlin,Royal Troon,T16,+2,286,76,70,69,71,1:00pm,False,complete,45734
78,Dean Burmester,Royal Troon,T19,+3,287,71,69,76,71,11:50am,False,complete,33974
79,Daniel Hillier,Royal Troon,T19,+3,287,76,71,68,72,1:15pm,False,complete,49813
80,Shubhankar Sharma,Royal Troon,T19,+3,287,76,72,67,72,1:15pm,False,complete,39113
81,Sepp Straka,Royal Troon,T22,+4,288,70,74,73,71,11:15am,False,complete,49960
82,Ewen Ferguson,Royal Troon,T22,+4,288,74,73,70,71,11:35am,False,complete,50223
83,Padraig Harrington,Royal Troon,T22,+4,288,72,73,71,72,12:10pm,False,complete,20766
84,Ryan Fox,Royal Troon,T25,+5,289,73,73,76,67,8:05am,False,complete,29936
85,Corey Conners,Royal Troon,T25,+5,289,71,70,80,68,8:25am,False,complete,39997
86,Jordan Spieth,Royal Troon,T25,+5,289,71,74,74,70,9:30am,False,complete,34046
