,Name,Course Name,Position,Strokes Under,Total Strokes,First Round,Second Round,Third Round,Fourth Round,Fourth Round Tee Time,Amateur Status,Tournament Status,ID
0,Scottie Scheffler,Le Golf National,1,-19,265,67,69,67,62,12:17:00,False,complete,46046
1,Tommy Fleetwood,Le Golf National,2,-18,266,67,64,69,66,12:39:00,False,complete,30911
2,Hideki Matsuyama,Le Golf National,3,-17,267,63,68,71,65,12:28:00,False,complete,32839
3,Victor Perez,Le Golf National,4,-16,268,70,67,68,63,11:55:00,False,complete,47679
4,Rory McIlroy,Le Golf National,5,-15,269,68,69,66,66,12:28:00,False,complete,28237
5,Jon Rahm,Le Golf National,5,-15,269,67,66,66,70,12:39:00,False,complete,46970
6,Nicolai Højgaard,Le Golf National,7,-14,270,70,70,62,68,12:28:00,False,complete,52453
7,Tom Kim,Le Golf National,8,-13,271,66,68,69,68,12:17:00,False,complete,55182
8,Corey Conners,Le Golf National,9,-12,272,68,69,69,66,11:44:00,False,complete,39997
9,Jason Day,Le Golf National,9,-12,272,69,68,67,68,12:06:00,False,complete,28089
10,Joaquin Niemann,Le Golf National,9,-12,272,66,70,68,68,12:06:00,False,complete,45486
11,Thomas Detry,Le Golf National,9,-12,272,71,63,69,69,12:17:00,False,complete,33653
12,Xander Schauffele,Le Golf National,9,-12,272,65,66,68,73,12:39:00,False,complete,48081
13,Wyndham Clark,Le Golf National,14,-11,273,75,68,65,65,11:17:00,False,complete,51766
14,Thorbjørn Olesen,Le Golf National,14,-11,273,71,68,66,68,11:55:00,False,complete,33968
15,Christiaan Bezuidenhout,Le Golf National,16,-10,274,70,71,64,69,11:55:00,False,complete,45522
16,Erik van Rooyen,Le Golf National,17,-9,275,67,69,69,70,11:44:00,False,complete,40006
17,Alejandro Tosti,Le Golf National,18,-8,276,68,69,69,70,11:33:00,False,complete,38991
18,C.T. Pan,Le Golf National,18,-8,276,69,65,72,70,11:33:00,False,complete,29908
19,Matteo Manassero,Le Golf National,18,-8,276,69,69,69,69,11:33:00,False,complete,33199
20,Ludvig Åberg,Le Golf National,18,-8,276,68,70,66,72,12:06:00,False,complete,52955
21,Min Woo Lee,Le Golf National,22,-7,277,76,65,68,68,10:55:00,False,complete,37378
22,Guido Migliozzi,Le Golf National,22,-7,277,68,67,74,68,10:55:00,False,complete,39834
23,Collin Morikawa,Le Golf National,24,-6,278,70,68,70,70,11:06:00,False,complete,50525
24,Byeong Hun An,Le Golf National,24,-6,278,72,68,66,72,11:44:00,False,complete,33948
25,Matthias Schmid,Le Golf National,26,-5,279,68,75,69,67,10:22:00,False,complete,48867
26,Carlos Ortiz,Le Golf National,26,-5,279,68,70,70,71,11:06:00,False,complete,33667
27,Stephan Jaeger,Le Golf National,26,-5,279,71,64,72,72,11:17:00,False,complete,36799
28,Shane Lowry,Le Golf National,26,-5,279,71,71,66,71,11:17:00,False,complete,33204
29,Rafa Campos,Le Golf National,30,-4,280,73,70,70,67,09:55:00,False,complete,32070
30,Viktor Hovland,Le Golf National,30,-4,280,70,75,67,68,10:22:00,False,complete,46717
31,Nick Taylor,Le Golf National,30,-4,280,70,73,68,69,10:33:00,False,complete,25493
32,Gavin Green,Le Golf National,33,-3,281,74,69,69,69,10:11:00,False,complete,31273
33,Fabrizio Zanotti,Le Golf National,33,-3,281,70,69,71,71,10:44:00,False,complete,29939
34,Nico Echavarria,Le Golf National,35,-2,282,74,69,71,68,09:44:00,False,complete,51349
35,Tapio Pulkkanen,Le Golf National,35,-2,282,69,72,71,70,09:55:00,False,complete,32394
36,Abraham Ancer,Le Golf National,35,-2,282,70,71,71,70,10:11:00,False,complete,45526
37,Sepp Straka,Le Golf National,35,-2,282,67,74,70,71,10:33:00,False,complete,49960
38,Ryan Fox,Le Golf National,35,-2,282,67,73,68,74,11:06:00,False,complete,29936
